R0,natural_cross_immunity,vaccine_timing,vaccine_coverage,vaccine_cross_immunity,emergences,trials
5,0.25,-210,0.6666666666666666,0.05,2532,5000
6,0.25,-210,0.6666666666666666,0.05,2781,5000
2,0.5,-210,0.6666666666666666,0.05,372,5000
3,0.5,-210,0.6666666666666666,0.05,1089,5000
4,0.5,-210,0.6666666666666666,0.05,1761,5000
5,0.5,-210,0.6666666666666666,0.05,2249,5000
5,0.5,90,0.0416666666666666,0.05,2243,5000
6,0.5,-210,0.6666666666666666,0.05,2553,5000
2,0.75,-210,0.6666666666666666,0.05,46,5000
3,0.75,-210,0.6666666666666666,0.05,537,5000
4,0.75,-210,0.6666666666666666,0.05,1204,5000
5,0.75,-210,0.6666666666666666,0.05,1709,5000
6,0.75,-210,0.6666666666666666,0.05,2081,5000
2,1.0,-210,0.6666666666666666,0.05,0,5000
3,1.0,-210,0.6666666666666666,0.05,4,5000
4,1.0,-210,0.6666666666666666,0.05,208,5000
5,1.0,-210,0.6666666666666666,0.05,629,5000
6,0.5,90,0.0416666666666666,0.05,2532,5000
6,1.0,-210,0.6666666666666666,0.05,1130,5000
2,0.0,-180,0.6666666666666666,0.05,1031,5000
3,0.0,-180,0.6666666666666666,0.05,1883,5000
4,0.0,-180,0.6666666666666666,0.05,2364,5000
5,0.0,-180,0.6666666666666666,0.05,2703,5000
6,0.0,-180,0.6666666666666666,0.05,3015,5000
2,0.25,-180,0.6666666666666666,0.05,741,5000
3,0.25,-180,0.6666666666666666,0.05,1617,5000
4,0.25,-180,0.6666666666666666,0.05,2184,5000
5,0.25,-180,0.6666666666666666,0.05,2550,5000
2,0.75,90,0.0416666666666666,0.05,31,5000
6,0.25,-180,0.6666666666666666,0.05,2838,5000
2,0.5,-180,0.6666666666666666,0.05,335,5000
3,0.5,-180,0.6666666666666666,0.05,1117,5000
4,0.5,-180,0.6666666666666666,0.05,1762,5000
5,0.5,-180,0.6666666666666666,0.05,2255,5000
6,0.5,-180,0.6666666666666666,0.05,2555,5000
2,0.75,-180,0.6666666666666666,0.05,36,5000
3,0.75,-180,0.6666666666666666,0.05,538,5000
4,0.75,-180,0.6666666666666666,0.05,1115,5000
5,0.75,-180,0.6666666666666666,0.05,1693,5000
3,0.75,90,0.0416666666666666,0.05,551,5000
6,0.75,-180,0.6666666666666666,0.05,2135,5000
2,1.0,-180,0.6666666666666666,0.05,0,5000
3,1.0,-180,0.6666666666666666,0.05,7,5000
4,1.0,-180,0.6666666666666666,0.05,191,5000
5,1.0,-180,0.6666666666666666,0.05,672,5000
6,1.0,-180,0.6666666666666666,0.05,1194,5000
2,0.0,-150,0.6666666666666666,0.05,1064,5000
3,0.0,-150,0.6666666666666666,0.05,1924,5000
4,0.0,-150,0.6666666666666666,0.05,2427,5000
5,0.0,-150,0.6666666666666666,0.05,2702,5000
4,0.75,90,0.0416666666666666,0.05,1113,5000
6,0.0,-150,0.6666666666666666,0.05,3048,5000
2,0.25,-150,0.6666666666666666,0.05,706,5000
3,0.25,-150,0.6666666666666666,0.05,1618,5000
4,0.25,-150,0.6666666666666666,0.05,2205,5000
5,0.25,-150,0.6666666666666666,0.05,2508,5000
6,0.25,-150,0.6666666666666666,0.05,2886,5000
2,0.5,-150,0.6666666666666666,0.05,343,5000
3,0.5,-150,0.6666666666666666,0.05,1174,5000
4,0.5,-150,0.6666666666666666,0.05,1723,5000
5,0.5,-150,0.6666666666666666,0.05,2260,5000
5,0.75,90,0.0416666666666666,0.05,1671,5000
6,0.5,-150,0.6666666666666666,0.05,2606,5000
2,0.75,-150,0.6666666666666666,0.05,44,5000
3,0.75,-150,0.6666666666666666,0.05,564,5000
4,0.75,-150,0.6666666666666666,0.05,1183,5000
5,0.75,-150,0.6666666666666666,0.05,1648,5000
6,0.75,-150,0.6666666666666666,0.05,2136,5000
2,1.0,-150,0.6666666666666666,0.05,0,5000
3,1.0,-150,0.6666666666666666,0.05,3,5000
4,1.0,-150,0.6666666666666666,0.05,187,5000
5,1.0,-150,0.6666666666666666,0.05,669,5000
